O1,4014.8150316781903,468.3909101391787,10466.118952046701,9484.965395240832,3816.6700022216805,
T7,304549.57914619683,13323.119221736633,11461.086446807345,6726.180446486572,4179.5038862848805,
O2,44657.24354461629,105387.9547813152,45029.68611663691,656.8535592272044,16420.93434999775,
T8,148057.23919068498,30393.365724586693,10382.429420643097,3783.4765011486984,3786.1510175367557,
P7,314255.8354590835,280462.0683044481,66901.87455925488,5911.682033044841,24397.045255516834,
P8,89532.54298202938,11345.468712260104,44563.1977498621,420.38627790541074,16250.820464992985,
F3,153288.69899454675,27166.672788072356,2690.987453067365,5149.731904341282,981.3199272370838,
AF3,383177.4337185245,44393.04959430212,40058.27618329515,656.8535592272044,14608.01484771923,
F4,58433.02745674601,123759.28714566297,110187.31989914176,945.8691252871746,40181.90892069098,
AF4,171525.59129394044,7129.950521007497,25454.387855654677,26.27414236908817,9282.428281076887,
F7,277612.23430852935,28832.062690789448,11733.050437186484,420.38627790541074,4278.680745302105,
F8,89347.04597019932,71715.85268575422,11699.337679196053,105.09656947635268,4266.386744755787,
FC6,56450.96844834521,154048.56600132986,108783.31814597578,1681.545111621643,39669.91288864441,
FC5,141746.2868678972,145097.09527422555,32732.556314522026,1681.545111621643,11936.551299872,
